module	trait	nObs	bicor	Z	t	p
red	MElightgreen	43	0.325514395469694	2.1629931459616	2.20436527474846	0.033168828020064
red	MEturquoise	43	0.166762992431942	1.07787118553945	1.08296896194838	0.285150271359934
red	MEpink	43	0.053259439372333	0.341349805582468	0.341511511377598	0.734462731008717
red	MEsalmon	43	0.0571757668248598	0.366503261836222	0.36670341827581	0.715726036247119
red	MEbrown	43	-0.100865595625124	-0.648058689237176	0.649165645182912	0.519851494219723
red	MEyellow	43	-0.0746594236746247	-0.478944776000909	0.479391503517664	0.634207424506158
red	MEroyalblue	43	-0.134217756012185	-0.864630078402813	0.86726005476095	0.390847157704961
red	MEgrey60	43	-0.0447307335445147	-0.286607698122329	0.286703411347791	0.775783325720002
red	MEred	43	-0.0782204949701584	-0.501880799463044	0.502394843162142	0.618077617399028
red	MEcyan	43	-0.0124586094456914	-0.0797781519177333	0.0797802159675658	0.936800203608023
red	MElightyellow	43	-0.000156517865531233	-0.00100220334655813	0.0010022033506502	0.999205218109981
red	MEblue	43	-0.14857327234009	-0.958427232800879	0.962010084418361	0.341684181383069
red	MEgreen	43	-0.143527610735914	-0.925414983112226	0.928639970577793	0.358510911487985
red	MElightcyan	43	-0.124619903270772	-0.802126434247784	0.80422602252342	0.4259051851734
red	MEdarkred	43	-0.124653047905498	-0.802342012305423	0.804443294767091	0.425781160164736
red	MEgreenyellow	43	-0.0691870231639535	-0.443722020367667	0.444077244216504	0.659321821199173
red	MEgrey	43	-0.0169180169988126	-0.108338501673435	0.108343670828783	0.914251579022117
red	group	43	0.128173318929406	0.825248827835857	0.82753537587089	0.412724542282882
red	age	43	-0.0654979459886783	-0.419992761057246	0.420293981006156	0.676465366958733
red	White_vs_nonwhite	43	-0.293421860816403	-1.93570541866232	1.96532418490938	0.0561757916448803
red	apo	43	0.0210056644966017	0.134521667144599	0.134531562951219	0.893640514765737
red	apo_hdp	14	0.184929149154261	0.648069705671532	0.651856682422085	0.526781961369002
red	apo_gdm	14	0.102061955926098	0.354788328206186	0.35540891603063	0.728452184741807
red	apo_other	14	-0.464124902098967	-1.74090487620683	1.81511707430665	0.0945631857358775
red	preterm	43	0.0503875733688055	0.322911358267366	0.323048247750007	0.748300565748624
red	bmi	43	0.209239261654215	1.35986763817757	1.37011316192865	0.17810794366249
red	gwg	39	0.107440445024145	0.65606695659367	0.657339709581199	0.515031132480015
red	egwg	39	0.28954701784428	1.81309972423706	1.84006725481222	0.0737909051154641
red	ppwr	42	0.131378705034434	0.835742629604427	0.838176994019114	0.406912120576607
red	ppwr_e	42	-0.0283896921383413	-0.179600439963199	0.179624579473621	0.858354163896021
red	low_income	43	-0.0641754308287659	-0.411488781927176	0.411772070182852	0.682651337131923
red	low_access	43	-0.235575055805845	-1.53728745115811	1.55209835957555	0.128324527861024
red	SPL_SVM	43	0.17334318241966	1.12125985043396	1.12699902643013	0.26629575386656
red	RPL_SVM	43	0.164679965909301	1.06415665181899	1.06906212980382	0.291295575036241
red	SPL_EBM	43	0.094563471298217	0.607316250057709	0.608227221872393	0.546391665034315
red	RPL_EBM	43	0.0822040789461215	0.527553395163152	0.52815044634281	0.600242108903033
red	F_HVM	43	0.212350859533027	1.38071808636493	1.39144289497744	0.17159539138542
red	RPL_HVM	43	0.212350859533027	1.38071808636493	1.39144289497744	0.17159539138542
red	epds_mth6	42	0.103875605120046	0.65934534997773	0.660540338138954	0.512693471297831
red	epds_3a_mth6	42	0.0751472017519784	0.476170315866951	0.47662030165876	0.636226014685377
red	sleep_mth6	42	-0.000932210246202909	-0.00589581698014812	0.00589581783407545	0.995325152146398
red	reap_mth6	42	0.241830852212131	1.56038022443341	1.57625844180592	0.12284325853221
red	KCAL_mth6	24	0.0684569623894144	0.321594613531307	0.321846644813172	0.750607012895976
red	HEI2015_TOTAL_SCORE_mth6	24	0.349807313365103	1.71305327429091	1.75139173874336	0.0938100310799805
red	ppaq_total_mth6	42	0.167227948235669	1.06767026969897	1.07274857740279	0.289813449652849
red	PM2.5_7Days_mth6	21	0.0412607496170579	0.179953604957405	0.180004727660901	0.859054792998411
red	PM2.5_30Days_mth6	20	0.118160216491708	0.503664159260548	0.504848033067609	0.619790362244457
red	PM2.5_90Days_mth6	20	0.0288667054507887	0.122505093900909	0.122522117712014	0.903843127314177
red	EH_7Days_mth6	36	0.132729424185033	0.778532393593128	0.780847585482042	0.44029525955909
red	EH_30Days_mth6	36	0.026250307682456	0.153099453640618	0.153117045256161	0.879211112124434
red	EH_90Days_mth6	36	0.207915389498445	1.23028162691672	1.23943013086856	0.22367365747531
red	weight_mth6	42	0.340445035961142	2.24266089110096	2.28995527230568	0.0273756978069886
red	postpart_epds_bbmr	11	0.0566849077650922	0.170237213991942	0.170328591576267	0.868519204335012
red	infant_apgar1_bbmr	28	0.0947751137536047	0.484714935709231	0.48544528536737	0.631426194938763
red	infant_apgar5_bbmr	28	0.111344332397588	0.570110757745878	0.571299327191435	0.572702620473108
red	infant_weight_bbmr	23	0.188737100736515	0.875397049025969	0.880730853072602	0.388432289686909
red	breastfeeding	42	0.129810680490799	0.825653499575838	0.828000711506757	0.41258317179141
red	feeding_mth6	42	-0.0303640660492227	-0.192098266696781	0.19212780456372	0.84861417203792
red	ex_feeding_mth6	42	0.0303640660492227	0.192098266696781	0.19212780456372	0.84861417203792
skyblue	MEmidnightblue	43	0.101213276147352	0.650307892886717	0.651426418530043	0.518406177720014
skyblue	MEblack	43	0.132303167548174	0.852149084652112	0.854666739686927	0.397702299051999
skyblue	MEmagenta	43	0.0646846421245568	0.414762916875068	0.415053022242122	0.680267079824557
skyblue	MEpurple	43	0.0746483442124409	0.478873435231516	0.479319963115162	0.634257875853215
skyblue	MEtan	43	0.0643639376549897	0.412700820998008	0.412986620256801	0.681768343020011
